d u	d I d
s p r I n t	s p r I n t ɨ d
s t ʌ m p	s t ʌ m p t
s w i t ɨ n	s w i t ɨ n d
T r E S	T r E S t
t I n J	t I n J d
ʌ n r o l	ʌ n r o l d
j u s R p	j u s R p t
v E t	v E t ɨ d
æ m b U S	æ m b U S t
b a m b a r d	b a m b a r d ɨ d
d E l I g e t	d E l I g e t ɨ d
d I s E m I n e t	d I s E m I n e t ɨ d
I n l Y t ɨ n	I n l Y t ɨ n d
I n l Y v ɨ n	I n l Y v ɨ n d
f E D R	f E D R d
f ɨ l e	f ɨ l e d
f l e l	f l e l d
g æ s	g æ s t
g l o r I f Y	g l o r I f Y d
I n k r I m I n e t	I n k r I m I n e t ɨ d
I n t R t w Y n	I n t R t w Y n d
l E J I s l e t	l E J I s l e t ɨ d
m e m	m e m d
m a d ɨ r e t	m a d ɨ r e t ɨ d
o v R E s t I m e t	o v R E s t I m e t ɨ d
p l ʌ m p	p l ʌ m p t
p R p o r t	p R p o r t ɨ d
s k e t	s k e t ɨ d
s t i l	s t i l d
t r I k	t r I k t
v e k e t	v e k e t ɨ d
w a f t	w a f t ɨ d
w i z	w i z d
j æ N k	j æ N k t
ɔ	ɔ d
b I l I t ɨ l	b I l I t ɨ l d
b I l	b I l d
b ʌ J	b ʌ J d
b ʌ t R	b ʌ t R d
k r I n J	k r I n J d
d I s p r u v	d I s p r u v d
d I s w e d	d I s w e d ɨ d
d w o r f	d w o r f t
I v I k t	I v I k t ɨ d
h ɔ k	h ɔ k t
J I N g ɨ l	J I N g ɨ l d
J a t	J a t ɨ d
p E n	p E n d
r i J E n R e t	r i J E n R e t ɨ d
r i I t ɨ r e t	r i I t ɨ r e t ɨ d
r I p E n t	r I p E n t ɨ d
s k r ɔ l	s k r ɔ l d
S ʌ v ɨ l	S ʌ v ɨ l d
s p o r t	s p o r t ɨ d
s t ʌ b	s t ʌ b d
t i t R	t i t R d
T ʌ d	T ʌ d ɨ d
t I p I f Y	t I p I f Y d
ɨ v e l	ɨ v e l d
b l æ n C	b l æ n C t
b ɔ s	b ɔ s t
k ɨ J o l	k ɨ J o l d
k ɨ n k a k t	k ɨ n k a k t ɨ d
k ɨ n s t r I k t	k ɨ n s t r I k t ɨ d
k u	k u d
I n k r ʌ s t	I n k r ʌ s t ɨ d
E k s h e l	E k s h e l d
f e r i	f e r i d
f r ɔ s t	f r ɔ s t ɨ d
J E s t I k j U l e t	J E s t I k j U l e t ɨ d
g r e	g r e d
h i d	h i d ɨ d
I n t R	I n t R d
l i s	l i s t
W t s t r I p	W t s t r I p t
o v R r ʌ n	o v R r æ n
p E t	p E t ɨ d
p W d R	p W d R d
r æ t I f Y	r æ t I f Y d
r i k	r i k t
s ɨ l I s I t	s ɨ l I s I t ɨ d
s t e k	s t e k t
s u p ɨ r I m p o z	s u p ɨ r I m p o z d
t a r n I S	t a r n I S t
t I N k R	t I N k R d
ʌ n R T	ʌ n R T t
ʌ p	ʌ p t
v E n t	v E n t ɨ d
ɨ d I k t	ɨ d I k t ɨ d
b R J ɨ n	b R J ɨ n d
k l æ N k	k l æ N k t
k a b ɨ l	k a b ɨ l d
k a n s I k r e t	k a n s I k r e t ɨ d
k ɨ n s Y n	k ɨ n s Y n d
E n J I n i r	E n J I n i r d
i k w ɨ l Y z	i k w ɨ l Y z d
E v I d ɨ n s	E v I d ɨ n s t
f E n s	f E n s t
f l ɔ	f l ɔ d
I n s Y t	I n s Y t ɨ d
l ʌ g	l ʌ g d
m E z m ɨ r Y z	m E z m ɨ r Y z d
n ʌ z ɨ l	n ʌ z ɨ l d
o r i E n t e t	o r i E n t e t ɨ d
p i k	p i k t
p o l	p o l d
p r a p ɨ g e t	p r a p ɨ g e t ɨ d
p r u n	p r u n d
r o v	r o v d
S æ N h Y	S æ N h Y d
s I k ɨ n	s I k ɨ n d
v æ l I d e t	v æ l I d e t ɨ d
ɨ l Y n	ɨ l Y n d
ɨ s w e J	ɨ s w e J d
b ʌ t	b ʌ t ɨ d
C E k R	C E k R d
k ɨ n v i n	k ɨ n v i n d
d a r n	d a r n d
d e d r i m	d e d r i m d
d ʌ l	d ʌ l d
I n S r Y n	I n S r Y n d
f o r t E l	f o r t o l d
g W J	g W J d
h o r d	h o r d ɨ d
h ɔ N k	h ɔ N k t
l u s	l u s t
m I s p l e s	m I s p l e s t
W t w I t	W t w I t ɨ d
o v R s i	o v R s ɔ
p r ɨ k j u r	p r ɨ k j u r d
r E v ɨ l	r E v ɨ l d
s o b R	s o b R d
s p æ N k	s p æ N k t
s p R n	s p R n d
ʌ n s k r u	ʌ n s k r u d
z I p	z I p t
ɨ n Y ɨ l e t	ɨ n Y ɨ l e t ɨ d
b l e r	b l e r d
b r o C	b r o C t
k a N g r ɨ g e t	k a N g r ɨ g e t ɨ d
k U S ɨ n	k U S ɨ n d
d æ b ɨ l	d æ b ɨ l d
d I b e s	d I b e s t
d i r e n J	d i r e n J d
d I s f I g j R	d I s f I g j R d
I s p W z	I s p W z d
f æ D ɨ m	f æ D ɨ m d
f ɔ l t	f ɔ l t ɨ d
m ɨ n a p ɨ l Y z	m ɨ n a p ɨ l Y z d
p i	p i d
p ʌ l s	p ʌ l s t
r E d ɨ n	r E d ɨ n d
r i j u n Y t	r i j u n Y t ɨ d
r i v Y t ɨ l Y z	r i v Y t ɨ l Y z d
s n I g R	s n I g R d
s p Y s	s p Y s t
t æ k	t æ k t
t o l	t o l d
w e t	w e t ɨ d
ɨ b e t	ɨ b e t ɨ d
ɨ J O n	ɨ J O n d
æ m b ɨ l	æ m b ɨ l d
ɨ p r a k s I m e t	ɨ p r a k s I m e t ɨ d
b e t	b e t ɨ d
k W R	k W R d
d ɔ d ɨ l	d ɔ d ɨ l d
d I f Y l	d I f Y l d
I n æ m ɨ l	I n æ m ɨ l d
f j u m	f j u m d
g æ l v ɨ n Y z	g æ l v ɨ n Y z d
h ɔ s p I t ɨ l Y z	h ɔ s p I t ɨ l Y z d
h j u m ɨ n Y z	h j u m ɨ n Y z d
I n t ɨ r I l e t	I n t ɨ r I l e t ɨ d
I n t a k s I k e t	I n t a k s I k e t ɨ d
n Y f	n Y f t
m ʌ k	m ʌ k t
p R t R b	p R t R b d
p a s C ɨ l e t	p a s C ɨ l e t ɨ d
p r a f I s Y	p r a f I s Y d
r I p l E n I S	r I p l E n I S t
s æ b ɨ t a Z	s æ b ɨ t a Z d
S æ k ɨ l	S æ k ɨ l d
S I t	S I t ɨ d
S ʌ n t	S ʌ n t ɨ d
s I z ɨ l	s I z ɨ l d
s l a t	s l a t ɨ d
s n e k	s n e k t
T ʌ m	T ʌ m d
t I n t	t I n t ɨ d
w e k ɨ n	w e k ɨ n d
w I t ɨ l	w I t ɨ l d
j E l o	j E l o d
ɨ m æ l g ɨ m e t	ɨ m æ l g ɨ m e t ɨ d
b e	b e d
b r æ n d I S	b r æ n d I S t
k e k	k e k t
k a r p I t	k a r p I t ɨ d
k ɔ S ɨ n	k ɔ S ɨ n d
k l I n C	k l I n C t
k ɨ n J E k C R	k ɨ n J E k C R d
k ʌ v I t	k ʌ v I t ɨ d
k ʌ f	k ʌ f t
d I b I l I t e t	d I b I l I t e t ɨ d
d I p r e v	d I p r e v d
d Y l e t	d Y l e t ɨ d
d I s k ʌ l R	d I s k ʌ l R d
d I s E k t	d I s E k t ɨ d
I l E k t r I f Y	I l E k t r I f Y d
I n k r o C	I n k r o C t
I k s t R m I n e t	I k s t R m I n e t ɨ d
f l a g	f l a g d
f o m	f o m d
g l I m R	g l I m R d
g o d	g o d ɨ d
I n C	I n C t
I n t R J E k t	I n t R J E k t ɨ d
J æ N g ɨ l	J æ N g ɨ l d
k I n d ɨ l	k I n d ɨ l d
m æ d ɨ n	m æ d ɨ n d
m O s ɨ n	m O s ɨ n d
o r k I s t r e t	o r k I s t r e t ɨ d
W s t	W s t ɨ d
o v R w R k	o v R w R k t
p e v	p e v d
r æ n t	r æ n t ɨ d
r i m e r i	r i m e r i d
s W R	s W R d
s p j u	s p j u d
s p l ʌ t R	s p l ʌ t R d
s t a m p	s t a m p t
t æ k s i	t æ k s i d
t r E b ɨ l	t r E b ɨ l d
v i t o	v i t o d
æ b d I k e t	æ b d I k e t ɨ d
b æ n d	b æ n d ɨ d
k æ t ɨ l ɔ g	k æ t ɨ l ɔ g d
k ɨ n s t r u	k ɨ n s t r u d
k r o k	k r o k t
d I l I b R e t	d I l I b R e t ɨ d
d I s m W n t	d I s m W n t ɨ d
f o r s e k	f o r s U k
h o	h o d
I n f l e m	I n f l e m d
J R n i	J R n i d
m a r S ɨ l	m a r S ɨ l d
n E s t	n E s t ɨ d
p æ m p R	p æ m p R d
p R s ɨ n ɨ l Y z	p R s ɨ n ɨ l Y z d
p r æ n s	p r æ n s t
p r E S R	p r E S R d
r e v	r e v d
S e m	S e m d
S ʌ t R	S ʌ t R d
s ʌ k ɨ l	s ʌ k ɨ l d
t e n t	t e n t ɨ d
t æ n t ɨ l Y z	t æ n t ɨ l Y z d
ʌ p h o l s t R	ʌ p h o l s t R d
ɨ b h o r	ɨ b h o r d
ɨ m æ s	ɨ m æ s t
b l ʌ f	b l ʌ f t
C e f	C e f t
k ɨ n k R	k ɨ n k R d
k a p j U l e t	k a p j U l e t ɨ d
k ɨ r a b ɨ r e t	k ɨ r a b ɨ r e t ɨ d
k r æ m p	k r æ m p t
d I f l e t	d I f l e t ɨ d
d a m I n i r	d a m I n i r d
I g z æ k t	I g z æ k t ɨ d
g o r J	g o r J d
g r æ f t	g r æ f t ɨ d
I n s t I g e t	I n s t I g e t ɨ d
J ʌ g ɨ l	J ʌ g ɨ l d
l i g ɨ l Y z	l i g ɨ l Y z d
l ʌ m p	l ʌ m p t
m o r g I J	m o r g I J d
n E k	n E k t
p E l t	p E l t ɨ d
p R s p Y R	p R s p Y R d
p l ʌ n d R	p l ʌ n d R d
r I k O l	r I k O l d
r E z ɨ r E k t	r E z ɨ r E k t ɨ d
r E C	r E C t
s k æ n d ɨ l Y z	s k æ n d ɨ l Y z d
s Y d ɨ l	s Y d ɨ l d
s m R k	s m R k t
s ɨ l I d I f Y	s ɨ l I d I f Y d
s t ʌ t R	s t ʌ t R d
s R m Y z	s R m Y z d
t E l I v Y z	t E l I v Y z d
t w I t R	t w I t R d
ʌ n z I p	ʌ n z I p t
ɨ l e	ɨ l e d
b I f r E n d	b I f r E n d ɨ d
b I g E t	b I g a t
b l ʌ n t	b l ʌ n t ɨ d
k r e n	k r e n d
d I f E k t	d I f E k t ɨ d
d E n I g r e t	d E n I g r e t ɨ d
d I s k ɨ n t I n j u	d I s k ɨ n t I n j u d
d I s p e r I J	d I s p e r I J d
d Y v ʌ l J	d Y v ʌ l J d
I n s l e v	I n s l e v d
f ɔ l s ɨ f Y	f ɔ l s ɨ f Y d
f l W R	f l W R d
f ɔ s I l Y z	f ɔ s I l Y z d
g l i n	g l i n d
i r I g e t	i r I g e t ɨ d
l æ n s k e p	l æ n s k e p t
l ɔ n d R	l ɔ n d R d
l i r	l i r d
l o n	l o n d
m æ s k ɨ r e d	m æ s k ɨ r e d ɨ d
p æ n ɨ l	p æ n ɨ l d
p æ t R	p æ t R d
p R p I t r e t	p R p I t r e t ɨ d
p E s t R	p E s t R d
r æ n s æ k	r æ n s æ k t
r i n e m	r i n e m d
r W t	r W t ɨ d
s E g r I g e t	s E g r I g e t ɨ d
s n ʌ g ɨ l	s n ʌ g ɨ l d
s p ʌ n J	s p ʌ n J d
s ɨ b o r d I n e t	s ɨ b o r d I n e t ɨ d
s w ɔ D	s w ɔ D d
T r ɔ N	T r ɔ N d
w o r	w o r d
w E J	w E J d
w R	w R d
w I z	w I z d
ɨ f r ʌ n t	ɨ f r ʌ n t ɨ d
b a n d	b a n d ɨ d
C ʌ g	C ʌ g d
d I l i t	d I l i t ɨ d
d I s b æ n d	d I s b æ n d ɨ d
d I s k ɨ n E k t	d I s k ɨ n E k t ɨ d
d I s o r g ɨ n Y z	d I s o r g ɨ n Y z d
d I s k w Y ɨ t	d I s k w Y ɨ t ɨ d
d Y v R J	d Y v R J d
d W s	d W s t
d r o n	d r o n d
E b	E b d
I k l I p s	I k l I p s t
I g z E m p t	I g z E m p t ɨ d
f E s t R	f E s t R d
f l ʌ s t R	f l ʌ s t R d
h E k t R	h E k t R d
I n t R n	I n t R n d
l i f	l i f t
l I k w I d e t	l I k w I d e t ɨ d
m W D	m W D d
o v R s I m p l I f Y	o v R s I m p l I f Y d
p R s a n I f Y	p R s a n I f Y d
r E k t I f Y	r E k t I f Y d
r i f j u ɨ l	r i f j u ɨ l d
s n ʌ f	s n ʌ f t
s t I p j U l e t	s t I p j U l e t ɨ d
t ɔ n t	t ɔ n t ɨ d
t w I d ɨ l	t w I d ɨ l d
ʌ p g r e d	ʌ p g r e d ɨ d
r E s t	r E s t ɨ d
æ k s i d	æ k s i d ɨ d
ɨ k l e m	ɨ k l e m d
b æ N k w I t	b æ N k w I t ɨ d
b e s t	b e s t ɨ d
b ʌ m b ɨ l	b ʌ m b ɨ l d
k æ t ɨ g R Y z	k æ t ɨ g R Y z d
k a m p l I m E n t	k a m p l I m E n t ɨ d
k r u n	k r u n d
k R d ɨ l	k R d ɨ l d
d i f j u z	d i f j u z d
d E t ɨ n e t	d E t ɨ n e t ɨ d
d I s b I l i v	d I s b I l i v d
d I s m E m b R	d I s m E m b R d
d I s k w a l I f Y	d I s k w a l I f Y d
d I s t E n d	d I s t E n d ɨ d
i r m a r k	i r m a r k t
E k s t o l	E k s t o l d
f l u t	f l u t ɨ d
f r ʌ n t	f r ʌ n t ɨ d
g a r n I S	g a r n I S t
h a r k	h a r k t
h W n d	h W n d ɨ d
I g n Y t	I g n Y t ɨ d
I m p r E g n e t	I m p r E g n e t ɨ d
I n f E s t	I n f E s t ɨ d
J a r	J a r d
l æ N g w I S	l æ N g w I S t
o r b I t	o r b I t ɨ d
a s I l e t	a s I l e t ɨ d
p ʌ l s e t	p ʌ l s e t ɨ d
k w E l	k w E l d
r i v R b R e t	r i v R b R e t ɨ d
s k ʌ f	s k ʌ f t
s E g m E n t	s E g m E n t ɨ d
s l a S	s l a S t
s l W C	s l W C t
s ʌ b v R t	s ʌ b v R t ɨ d
ɨ b r i v i e t	ɨ b r i v i e t ɨ d
ɨ b o r t	ɨ b o r t ɨ d
ɨ b z a l v	ɨ b z a l v d
æ d m a n I S	æ d m a n I S t
b æ g	b æ g d
b I f I t	b I f I t ɨ d
b I l Y	b I l Y d
b l i t	b l i t ɨ d
k e J	k e J d
k W C	k W C t
k r e z	k r e z d
d i k o d	d i k o d ɨ d
I k a n ɨ m Y z	I k a n ɨ m Y z d
I n m E S	I n m E S t
E k s o r s Y z	E k s o r s Y z d
h æ g ɨ l	h æ g ɨ l d
h o l	h o l d
I n s E n s	I n s E n s t
m a l I f Y	m a l I f Y d
n I g e t	n I g e t ɨ d
n I k	n I k t
W t l I v	W t l I v d
p E n s ɨ l	p E n s ɨ l d
p ɨ t I S ɨ n	p ɨ t I S ɨ n d
p l e t	p l e t ɨ d
p a p j U l R Y z	p a p j U l R Y z d
p a z I t	p a z I t ɨ d
k w e k	k w e k t
r I J u v ɨ n e t	r I J u v ɨ n e t ɨ d
r a k I t	r a k I t ɨ d
r ʌ p C R	r ʌ p C R d
s k æ v I n J	s k æ v I n J d
s p Y k	s p Y k t
s t i p	s t i p t
s t r æ g ɨ l	s t r æ g ɨ l d
s w I S	s w I S t
t r E s p æ s	t r E s p æ s t
ʌ n d R k ʌ t	ʌ n d R k ʌ t
w R d	w R d ɨ d
ɨ k ɔ s t	ɨ k ɔ s t ɨ d
æ k w i E s	æ k w i E s t
æ m p j U t e t	æ m p j U t e t ɨ d
b ɔ k	b ɔ k t
C Y d	C Y d ɨ d
k r æ N k	k r æ N k t
d E d ɨ n	d E d ɨ n d
d E n t	d E n t ɨ d
d r u l	d r u l d
E k s t r ɨ k e t	E k s t r ɨ k e t ɨ d
h æ l o	h æ l o d
Y d ɨ l	Y d ɨ l d
I m o b I l Y z	I m o b I l Y z d
J a S	J a S t
l æ C	l æ C t
m æ N g ɨ l	m æ N g ɨ l d
m Y m	m Y m d
m I s I n t R p r I t	m I s I n t R p r I t ɨ d
m I s l e	m I s l e d
o v R h ɔ l	o v R h ɔ l d
p R f j u m	p R f j u m d
p R p l E k s	p R p l E k s t
p r i n	p r i n d
r I s I p r ɨ k e t	r I s I p r ɨ k e t ɨ d
r i ɨ b I l I t e t	r i ɨ b I l I t e t ɨ d
r u s t	r u s t ɨ d
r o p	r o p t
S Y	S Y d
s l R	s l R d
s m ʌ J	s m ʌ J d
T i ɨ r Y z	T i ɨ r Y z d
ʌ p l I f t	ʌ p l I f t ɨ d
w Y t ɨ n	w Y t ɨ n d
z u m	z u m d
ɨ b E t	ɨ b E t ɨ d
ɨ J R n	ɨ J R n d
ɨ p r e z	ɨ p r e z d
b l æ N k I t	b l æ N k I t ɨ d
b l Y t	b l Y t ɨ d
d E k	d E k t
d i v æ l j u	d i v æ l j u d
d i v i e t	d i v i e t ɨ d
d I s I n g e J	d I s I n g e J d
d a n	d a n d
E s C u	E s C u d
g e m	g e m d
h E m	h E m d
W t d u	W t d I d
p æ s I f Y	p æ s I f Y d
p e r	p e r d
p e s t	p e s t ɨ d
p l a N k	p l a N k t
r æ m b ɨ l	r æ m b ɨ l d
r æ v ɨ l	r æ v ɨ l d
r i d i r E k t	r i d i r E k t ɨ d
r i f R b I S	r i f R b I S t
r E p r I m æ n d	r E p r I m æ n d ɨ d
r I t r e s	r I t r e s t
s i r	s i r d
s n I p	s n I p t
s k w ɔ k	s k w ɔ k t
T r a t ɨ l	T r a t ɨ l d
t r E k	t r E k t
w a d ɨ l	w a d ɨ l d
w E s t R n Y z	w E s t R n Y z d
ɨ t E s t	ɨ t E s t ɨ d
b I s i C	b I s ɔ t
k ɨ p I C U l e t	k ɨ p I C U l e t ɨ d
s R t I f Y	s R t I f Y d
k l I N k	k l I N k t
k l ʌ m p	k l ʌ m p t
k o ɨ l E s	k o ɨ l E s t
d I m i n	d I m i n d
d I s I l u Z ɨ n	d I s I l u Z ɨ n d
I n t w Y n	I n t w Y n d
E k s t r ɨ d Y t	E k s t r ɨ d Y t ɨ d
f æ s t	f æ s t ɨ d
f æ t	f æ t ɨ d
f E n d	f E n d ɨ d
g r ʌ b	g r ʌ b d
I n k ɨ p æ s I t e t	I n k ɨ p æ s I t e t ɨ d
I n s I n j u e t	I n s I n j u e t ɨ d
I n t ɨ m e t	I n t ɨ m e t ɨ d
I n v I g ɨ r e t	I n v I g ɨ r e t ɨ d
m ɨ n u r	m ɨ n u r d
m j u t	m j u t ɨ d
n u t R	n u t R d
p æ s C R Y z	p æ s C R Y z d
p r ɔ s t r e t	p r ɔ s t r e t ɨ d
r i d ʌ b ɨ l	r i d ʌ b ɨ l d
r i g r u p	r i g r u p t
r i T I N k	r i T ɔ t
S æ m b ɨ l	S æ m b ɨ l d
s l ʌ m b R	s l ʌ m b R d
s p l æ t R	s p l æ t R d
s p W t	s p W t ɨ d
s ɨ b s I s t	s ɨ b s I s t ɨ d
s w I l	s w I l d
t W z ɨ l	t W z ɨ l d
t u t R	t u t R d
v E k s	v E k s t
v I k t I m Y z	v I k t I m Y z d
ɨ n E k s	ɨ n E k s t
b a r J	b a r J d
b I k w i T	b I k w i T t
b r e v	b r e v d
b ʌ J I t	b ʌ J I t ɨ d
C æ m p i ɨ n	C æ m p i ɨ n d
C a r t	C a r t ɨ d
k l a b R	k l a b R d
k o r n	k o r n d
k j u b	k j u b d
d I k r Y	d I k r Y d
d I s o S i e t	d I s o S i e t ɨ d
I n k æ p s U l e t	I n k æ p s U l e t ɨ d
f W n d R	f W n d R d
h e r o	h e r o d
l I n C	l I n C t
m I s r E p r I z E n t	m I s r E p r I z E n t ɨ d
m a J u l e t	m a J u l e t ɨ d
n i d ɨ l	n i d ɨ l d
p l a p	p l a p t
p r E J U d I s	p r E J U d I s t
r æ d I k ɨ l Y z	r æ d I k ɨ l Y z d
s æ p	s æ p t
s I l u E t	s I l u E t ɨ d
s l e v	s l e v d
s t u p I f Y	s t u p I f Y d
s ʌ b d I v Y d	s ʌ b d I v Y d ɨ d
t r I p ɨ l	t r I p ɨ l d
t r o l	t r o l d
ʌ n d R p I n	ʌ n d R p I n d
æ g ɨ n Y z	æ g ɨ n Y z d
b r æ g	b r æ g d
b ʌ t r I s	b ʌ t r I s t
k o R s	k o R s t
k ɨ n J i l	k ɨ n J i l d
k ɨ r o d	k ɨ r o d ɨ d
k W n t ɨ n ɨ n s	k W n t ɨ n ɨ n s t
d I f o r m	d I f o r m d
d E s t I n	d E s t I n d
d I S	d I S t
d I s o r d R	d I s o r d R d
d I s o n	d I s o n d
d a k	d a k t
I m p e l	I m p e l d
I n ɔ g j U r e t	I n ɔ g j U r e t ɨ d
I n f j u z	I n f j u z d
l o p	l o p t
m æ s ɨ k R	m æ s ɨ k R d
m E T ɨ l e t	m E T ɨ l e t ɨ d
m I s J ʌ J	m I s J ʌ J d
m o r ɨ l Y z	m o r ɨ l Y z d
m o t ɨ r Y z	m o t ɨ r Y z d
n æ C R ɨ l Y z	n æ C R ɨ l Y z d
o v R ɔ	o v R ɔ d
p ʌ k R	p ʌ k R d
r I m æ n d	r I m æ n d ɨ d
r E m I n I s	r E m I n I s t
r i m a d ɨ l	r i m a d ɨ l d
r E n o v e t	r E n o v e t ɨ d
r i p e n t	r i p e n t ɨ d
r I p o z	r I p o z d
r I z W n d	r I z W n d ɨ d
r Y v	r Y v d
s l I N k	s l ʌ N k
s m a r t	s m a r t ɨ d
s p R t	s p R t ɨ d
s ʌ n b e D	s ʌ n b e D d
t u l	t u l d
t r æ n z m j u t	t r æ n z m j u t ɨ d
ʌ n d ɨ r e t	ʌ n d ɨ r e t ɨ d
ʌ n w Y n d	ʌ n w W n d
v æ N k w I S	v æ N k w I S t
w æ k	w æ k t
w i d ɨ l	w i d ɨ l d
b i r e t	b i r e t ɨ d
b I v w æ k	b I v w æ k t
k æ k ɨ l	k æ k ɨ l d
k æ s k e d	k æ s k e d ɨ d
s R k ɨ m s Y z	s R k ɨ m s Y z d
k W	k W d
d æ l i	d æ l i d
d i h j u m ɨ n Y z	d i h j u m ɨ n Y z d
d I m R	d I m R d
i v z d r a p	i v z d r a p t
f o r w ɨ d	f o r w ɨ d ɨ d
g æ b ɨ l	g æ b ɨ l d
g R d	g R d ɨ d
h ɨ r æ N	h ɨ r æ N d
h i l	h i l d
m ɨ r ɔ d	m ɨ r ɔ d ɨ d
n ʌ l I f Y	n ʌ l I f Y d
p a r t e k	p a r t U k
p E p R	p E p R d
p r i d I t R m I n	p r i d I t R m I n d
p r ɨ p W n d	p r ɨ p W n d ɨ d
r i k a n s t I t u t	r i k a n s t I t u t ɨ d
r E n d	r E n t
r i s t e t	r i s t e t ɨ d
s k ʌ f ɨ l	s k ʌ f ɨ l d
s n ʌ b	s n ʌ b d
s t æ g n e t	s t æ g n e t ɨ d
t i m	t i m d
v I n d I k e t	v I n d I k e t ɨ d
w æ g ɨ l	w æ g ɨ l d
b r i C	b r i C t
k e r I k ɨ C R	k e r I k ɨ C R d
d E l v	d E l v d
I m b E l I S	I m b E l I S t
I m b r O l	I m b r O l d
I p I t ɨ m Y z	I p I t ɨ m Y z d
I s t i m	I s t i m d
f E s t u n	f E s t u n d
f R o	f R o d
g l o t	g l o t ɨ d
g ʌ m	g ʌ m d
I n d I v I J u ɨ l Y z	I n d I v I J u ɨ l Y z d
I n t R s E k t	I n t R s E k t ɨ d
J E t I s ɨ n	J E t I s ɨ n d
l ɔ g	l ɔ g d
l a p	l a p t
m i æ n d R	m i æ n d R d
m E l o	m E l o d
m I s j u z	m I s j u z d
m ɨ l E s t	m ɨ l E s t ɨ d
ɨ k e Z ɨ n	ɨ k e Z ɨ n d
p i p ɨ l	p i p ɨ l d
p r Y m	p r Y m d
p ʌ N k C R	p ʌ N k C R d
k w a d r U p ɨ l	k w a d r U p ɨ l d
r i h W z	r i h W z d
r i I n s t e t	r i I n s t e t ɨ d
r I p r u v	r I p r u v d
r I t a r d	r I t a r d ɨ d
S Y n	S Y n d
s Y d	s Y d ɨ d
s p i r	s p i r d
t r æ n s f I k s	t r æ n s f I k s t
v e l	v e l d
w I N	w I N d
r æ N g ɨ l	r æ N g ɨ l d
æ k s E n t	æ k s E n t ɨ d
b æ k f Y R	b æ k f Y R d
b i d	b i d ɨ d
b E l t	b E l t ɨ d
b l I s t R	b l I s t R d
b l I t s	b l I t s t
k e n	k e n d
C æ n s	C æ n s t
k l O	k l O d
k o I g z I s t	k o I g z I s t ɨ d
k R t ɨ n	k R t ɨ n d
I n J O n	I n J O n d
f O l	f O l d
I n o v e t	I n o v e t ɨ d
I n ʌ n d e t	I n ʌ n d e t ɨ d
l e d ɨ l	l e d ɨ l d
l e R	l e R d
l I J I t I m Y z	l I J I t I m Y z d
l u b r I k e t	l u b r I k e t ɨ d
n o z	n o z d
o v R p W R	o v R p W R d
p e n	p e n d
p æ n d R	p æ n d R d
p ɔ	p ɔ d
p ɔ n	p ɔ n d
k w a n t I f Y	k w a n t I f Y d
r E v	r E v d
r I v o k	r I v o k t
r ʌ f	r ʌ f t
s k ɔ l d	s k ɔ l d ɨ d
s Y f ɨ n	s Y f ɨ n d
s k I t R	s k I t R d
s k ʌ l k	s k ʌ l k t
s k w a b ɨ l	s k w a b ɨ l d
s ɨ b s t æ n S i e t	s ɨ b s t æ n S i e t ɨ d
t o t	t o t ɨ d
w ɔ l s	w ɔ l s t
w R m	w R m d
b u	b u d
b ʌ f I t	b ʌ f I t ɨ d
s E n S R	s E n S R d
k l ʌ b	k l ʌ b d
k ɨ n v ʌ l s	k ɨ n v ʌ l s t
k o r s	k o r s t
k r I N k ɨ l	k r I N k ɨ l d
d I s p i r I t	d I s p i r I t ɨ d
f ɨ t i g	f ɨ t i g d
f l e m	f l e m d
f l e	f l e d
f o r w o r n	f o r w o r n d
f r I s k	f r I s k t
f r ɔ T	f r ɔ T t
g ʌ z ɨ l	g ʌ z ɨ l d
h E k ɨ l	h E k ɨ l d
Y t ɨ m Y z	Y t ɨ m Y z d
m ɨ l Y n	m ɨ l Y n d
m ɨ r u n	m ɨ r u n d
m a r t R	m a r t R d
m E n ɨ s	m E n ɨ s t
m E n s t r u e t	m E n s t r u e t ɨ d
m I s r i d	m I s r E d
m ʌ S r u m	m ʌ S r u m d
n I k n e m	n I k n e m d
o v R r u l	o v R r u l d
p i s	p i s t
p a t R	p a t R d
p r i E m p t	p r i E m p t ɨ d
k w o r i	k w o r i d
r I l E n t	r I l E n t ɨ d
r u Z	r u Z d
s i m	s i m d
s t I g m ɨ t Y z	s t I g m ɨ t Y z d
s t ʌ l t I f Y	s t ʌ l t I f Y d
s ɨ f j u z	s ɨ f j u z d
s w u n	s w u n d
t i	t i d
t r æ n s k r Y b	t r æ n s k r Y b d
t r ʌ m p I t	t r ʌ m p I t ɨ d
ʌ n d R p e	ʌ n d R p e d
v a r n I S	v a r n I S t
v E n t I l e t	v E n t I l e t ɨ d
w e v	w e v d
w U l f	w U l f t
æ J I t e t	æ J I t e t ɨ d
e r	e r d
b æ J R	b æ J R d
b a r t R	b a r t R d
b I d E v ɨ l	b I d E v ɨ l d
b I l i g R	b I l i g R d
b U l d o z	b U l d o z d
k ɨ v o r t	k ɨ v o r t ɨ d
C æ p	C æ p t
C e s ɨ n	C e s ɨ n d
s R k ɨ m s k r Y b	s R k ɨ m s k r Y b d
k l ʌ k	k l ʌ k t
k o s t	k o s t ɨ d
k ɨ l E k t I v Y z	k ɨ l E k t I v Y z d
k ɨ n s k r I p t	k ɨ n s k r I p t ɨ d
k a n t r ɨ v i n	k a n t r ɨ v i n d
d I l I n i e t	d I l I n i e t ɨ d
